ID,Translation,prompt,response,prompt_no
Jod-ch-58,Which profession is the most respected in China?,"Read the following question and provide a single answer without any explanations.

Question: Which profession is the most respected in China?
Answer:","It is difficult to pinpoint a single profession as the most respected in China, as respect can vary based on cultural values and context. Generally, professions like doctors (especially physicians), teachers, scientists, engineers, and government officials are often held in high esteem. However, this can change depending on societal trends and public perception at any given time.",inst-4
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"Read the following question and provide a single answer without any explanations.

Question: What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)
Answer:",8,inst-4
Jod-ch-61,Which occupation is most preferred among females in China?,"Read the following question and provide a single answer without any explanations.

Question: Which occupation is most preferred among females in China?
Answer:",Primary school teacher,inst-4
Jod-ch-62,Which occupation is most preferred among males in China?,"Read the following question and provide a single answer without any explanations.

Question: Which occupation is most preferred among males in China?
Answer:","It is difficult to determine the most preferred occupation among males in China without current data, as preferences can change over time. However, traditionally, jobs in fields such as technology, engineering, business, and government have been popular. Blue-collar jobs like construction and manufacturing were also historically common. For the most up-to-date information, refer to recent labor market surveys or statistical reports.",inst-4
Ki-pe-17,"On average, how far do students typically pursue their education in China? (e.g., elementary, high school)","Read the following question and provide a single answer without any explanations.

Question: On average, how far do students typically pursue their education in China? (e.g., elementary, high school)
Answer:","In China, students typically pursue their education up to the secondary level, which includes middle school (equivalent to junior high school and senior high school combined). This is where they complete the 9-year compulsory education. Some students then continue to higher education, such as university or vocational schools, but this is not universal for all students.",inst-4
Ki-pe-24,What language is taught in schools in China besides English?,"Read the following question and provide a single answer without any explanations.

Question: What language is taught in schools in China besides English?
Answer:",Mandarin Chinese.,inst-4
Ki-pe-30,What days of the week are schools closed in China?,"Read the following question and provide a single answer without any explanations.

Question: What days of the week are schools closed in China?
Answer:","In China, schools generally follow a Monday to Friday schedule with weekends (Saturday and Sunday) as holidays. However, it's important to note that school schedules may vary slightly depending on the region and educational level (e.g., primary, secondary, or university). Public holidays also affect school closures, such as New Year's Day, Spring Festival, National Day, and other traditional Chinese holidays.",inst-4
Ki-pe-32,What food do the hosts usually prepare for the guests in China?,"Read the following question and provide a single answer without any explanations.

Question: What food do the hosts usually prepare for the guests in China?
Answer:","Dim sum, Peking duck, Kung Pao chicken, hot pot, and roast duck are some traditional dishes that hosts may prepare for guests in China.",inst-4
Ki-pe-34,What is the usual drink in the breakfast in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the usual drink in the breakfast in China?
Answer:","Tea (specifically, usually black tea or green tea) is the usual drink in breakfast in China.",inst-4
Ki-pe-36,"Except the food original from China, which country's food is more popular in China?","Read the following question and provide a single answer without any explanations.

Question: Except the food original from China, which country's food is more popular in China?
Answer:",Japan,inst-4
Ki-pe-39,What food is usually prepared for a family picnic in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is usually prepared for a family picnic in China?
Answer:","Rice, dumplings, noodles, barbecue skewers (such as zhajiangmian or kebabs), spring rolls, baozi (steamed buns), fruit, and various cold dishes like cucumber salad or pickled vegetables are commonly prepared for family picnics in China.",inst-4
Ki-pe-40,Which food from China is considered disgusting by the rest of the world?,"Read the following question and provide a single answer without any explanations.

Question: Which food from China is considered disgusting by the rest of the world?
Answer:","There isn't a single food that is universally considered disgusting by the rest of the world across all cultures, including those in China. Different people have varying tastes and cultural preferences when it comes to food. Some foods that might be unfamiliar or unappetizing to some foreigners include insects, balut (a developing bird embryo), or certain types of fermented foods like stinky tofu or century eggs. However, these are not necessarily considered disgusting by everyone and can be enjoyed by those who are open to trying them.",inst-4
Ki-pe-43,What is the name of the popular bread in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the name of the popular bread in China?
Answer:",Steamed Buns (or Mantou),inst-4
Ki-pe-51,"What time of day are government offices closed in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time of day are government offices closed in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:","Government offices in China generally follow a standard work schedule from Monday to Friday, with office hours typically starting around 09:00 and ending around 17:30. However, it's important to note that some offices may have different hours or may be closed during lunchtime, which is usually from around 12:00 to 14:00. Therefore, an approximate closure time would be:

17:30",inst-4
Ki-pe-53,"What is the normal start time of government offices in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What is the normal start time of government offices in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",09:00,inst-4
Kik-in-01,What national holiday has the longest duration in China?,"Read the following question and provide a single answer without any explanations.

Question: What national holiday has the longest duration in China?
Answer:","National Day holiday (also known as China National Day or National Day Holiday) has the longest duration in China, lasting for 7 days, from October 1st to 7th.",inst-4
Kik-in-02,What are the common activities people from China do to celebrate Independence day?,"Read the following question and provide a single answer without any explanations.

Question: What are the common activities people from China do to celebrate Independence day?
Answer:","The question asks about common activities people in China do to celebrate Independence Day, but there is no specific Independence Day celebrated in China. China celebrates National Day on October 1st, marking the founding of the People's Republic of China. On this day, various activities take place, such as:

Answer: Parades, flag-raising ceremonies, fireworks displays, cultural events, and public holidays.",inst-4
Kik-in-04,What is installed in front of the house when a family member dies in China?,"Read the following question and provide a single answer without any explanations.

Question: What is installed in front of the house when a family member dies in China?
Answer:",A mourning arch or a funeral arch (qīn fān) is traditionally installed in front of a house when a family member dies in China as a sign of respect and to announce the death to the community. This arch is usually made of paper or wood and displays condolences and哀悼 messages.,inst-4
Kik-in-05,When is a pregnancy celebration or ceremony usually held in China?,"Read the following question and provide a single answer without any explanations.

Question: When is a pregnancy celebration or ceremony usually held in China?
Answer:","In China, a pregnancy celebration or ceremony, known as ""Sui Suì Jié"" (穗穗节), is traditionally held during the seventh month of pregnancy, which is considered the safe period when the baby is believed to be more stable. This is also called the ""Guā Guā Festival"" or the ""Seven-Month Festival."" Families often prepare a feast and offer sacrifices to the gods for a safe delivery.",inst-4
Kik-in-06,What event is usually held before a wedding in China?,"Read the following question and provide a single answer without any explanations.

Question: What event is usually held before a wedding in China?
Answer:", engagement ceremony,inst-4
Kik-in-07,What is usually shared to the children during (Lunar) New Year in China?,"Read the following question and provide a single answer without any explanations.

Question: What is usually shared to the children during (Lunar) New Year in China?
Answer:",Red packets (hongbao),inst-4
Kik-in-08,What activities are usually done days before Ramadan in China?,"Read the following question and provide a single answer without any explanations.

Question: What activities are usually done days before Ramadan in China?
Answer:","There is no specific set of activities that are traditionally associated with preparing for Ramadan in China, as Ramadan is primarily observed by Muslims, and China has a small Muslim population, mainly concentrated in the Xinjiang region. Therefore, the majority of Chinese people do not follow this religious observance.",inst-4
Kik-in-10,What is the most popular tourist attraction for foreign visitors in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular tourist attraction for foreign visitors in China?
Answer:",The Great Wall of China.,inst-4
Kik-in-11,"What is the most popular religious sites (temple, church, etc.) for tourism in China?","Read the following question and provide a single answer without any explanations.

Question: What is the most popular religious sites (temple, church, etc.) for tourism in China?
Answer:","The most popular religious site for tourism in China is the Great Wall of China, which is not a temple or church but an ancient fortification. However, if you are looking for a religious site, the Temple of Heaven in Beijing is a significant one attracting many tourists due to its historical and cultural significance.",inst-4
Kik-in-15,What clothes do women usually wear on graduation commencement ceremony in China?,"Read the following question and provide a single answer without any explanations.

Question: What clothes do women usually wear on graduation commencement ceremony in China?
Answer:","In China, women usually wear formal attire or traditional clothing such as a qipao (also known as a cheongsam) or a more modern business suit to a graduation commencement ceremony. However, Western-style dresses or suits are also common, especially for those who are not traditionally dressed. The choice often depends on personal preference and cultural influence.",inst-4
Kik-in-16,What drink is commonly consumed in China when the weather is cold?,"Read the following question and provide a single answer without any explanations.

Question: What drink is commonly consumed in China when the weather is cold?
Answer:",Hot tea (such as Chrysanthemum tea or Pu-erh tea) is commonly consumed in China when the weather is cold.,inst-4
Kik-in-17,What fruit is more commonly sold and found during Ramadan in China?,"Read the following question and provide a single answer without any explanations.

Question: What fruit is more commonly sold and found during Ramadan in China?
Answer:",Durian,inst-4
Kik-in-24,What carbohydrate is usually served with chicken in a fast-food restaurant in China?,"Read the following question and provide a single answer without any explanations.

Question: What carbohydrate is usually served with chicken in a fast-food restaurant in China?
Answer:",Rice,inst-4
Kik-in-31,What is the most famous martial art sports in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous martial art sports in China?
Answer:",The most famous martial art sport in China is Tai Chi.,inst-4
Kik-in-34,What sports are often broadcasted on national television in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports are often broadcasted on national television in China?
Answer:","Chinese National Football League (中超联赛), Chinese Basketball Association (CBA), Table Tennis, Badminton, Martial Arts (such as Wushu and Tai Chi), and occasionally international soccer (including the World Cup and Asian Games) are often broadcasted on national television in China.",inst-4
Kik-in-35,What sports were popular among people from China during the COVID-19 pandemic?,"Read the following question and provide a single answer without any explanations.

Question: What sports were popular among people from China during the COVID-19 pandemic?
Answer:","As an AI, I cannot provide real-time data or current events, including the popularity of sports during the COVID-19 pandemic in China. However, it's important to note that during such times, people worldwide may engage in various sports while adhering to safety guidelines, which could include traditional activities like basketball, table tennis, martial arts (such as Tai Chi), and online fitness workouts due to restrictions on public gatherings. For the most accurate information, consult recent news sources or official statistics.",inst-4
Kik-in-36,Who is the most popular soccer coach in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular soccer coach in China?
Answer:","As of my last update in 2021, the most popular soccer coach in China is Li Xiayang, also known as Li霄洋. However, popularity can change over time due to performance, achievements, and public perception, so it's advisable to check for the current top coach based on recent data.",inst-4
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),"Read the following question and provide a single answer without any explanations.

Question: What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:",Shanghai Shenhua vs. Guangzhou Evergrande,inst-4
Kik-in-38,What are the names of soccer supporters in China who are famous for their intense rivalry? (e.g. ___ vs ___),"Read the following question and provide a single answer without any explanations.

Question: What are the names of soccer supporters in China who are famous for their intense rivalry? (e.g. ___ vs ___)
Answer:",答案: Green Gang (Láozhōu) vs Red Devils (Hóngyuè),inst-4
Kik-in-40,Who is the most famous male badminton player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous male badminton player in China?
Answer:",Lin Dan,inst-4
Kik-in-41,Who is the most famous female badminton player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous female badminton player in China?
Answer:",The most famous female badminton player in China is Lin Dan.,inst-4
Kik-in-44,What sport gets the most support from the government in China?,"Read the following question and provide a single answer without any explanations.

Question: What sport gets the most support from the government in China?
Answer:",Table tennis.,inst-4
Kik-in-45,What sports field facilities are usually available at schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports field facilities are usually available at schools in China?
Answer:","In China, schools typically have a variety of sports field facilities, including football (soccer) fields, basketball courts, volleyball courts, tennis courts, track and field tracks, ping-pong tables, and sometimes soccer goals, badminton courts, and gymnasiums. Some larger schools may also have facilities for other sports like basketball, volleyball, or table tennis, as well as facilities for team sports like gymnastics, martial arts, and wrestling. Additionally, many schools in China prioritize the construction of multi-purpose sports halls to accommodate different activities.",inst-4
Na-ko-02,What cafe beverage do people from China most commonly enjoy?,"Read the following question and provide a single answer without any explanations.

Question: What cafe beverage do people from China most commonly enjoy?
Answer:",Tea,inst-4
Na-ko-04,What is the preferred hangover cure food for people from China?,"Read the following question and provide a single answer without any explanations.

Question: What is the preferred hangover cure food for people from China?
Answer:",Ginseng soup,inst-4
Na-ko-05,What is the typical delivery food in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the typical delivery food in China?
Answer:","The typical delivery food in China varies by region, but some popular options include:

1. Dumplings (Jiaozi)
2. Noodles (Ramen or various regional styles like zhajiangmian)
3. Hot Pot (Huoguo)
4. Kung Pao Chicken (Gongbao Jidiren)
5. Fried Rice (Chǎofàn)
6. Mapo Tofu (Ma Po Doufu)
7. Peking Roast Duck (Beijing Yāzǐ)
8. Xiaolongbao (Soup Dumplings)
9. Zhajiangmian (Fried Sauce Noodles)
10. Steamed Buns (Baozi)

These are just a few examples, as Chinese cuisine is diverse and regional specialties abound.",inst-4
Na-ko-07,What type of meat is consumed most by people from China?,"Read the following question and provide a single answer without any explanations.

Question: What type of meat is consumed most by people from China?
Answer:",Pork,inst-4
Na-ko-08,What fruit do people from China often eat in the autumn season?,"Read the following question and provide a single answer without any explanations.

Question: What fruit do people from China often eat in the autumn season?
Answer:",答案：Apples,inst-4
Na-ko-09,What side dish is the most commonly served on a dining table in China?,"Read the following question and provide a single answer without any explanations.

Question: What side dish is the most commonly served on a dining table in China?
Answer:",Rice,inst-4
Na-ko-11,What do people from China eat while watching a soccer game?,"Read the following question and provide a single answer without any explanations.

Question: What do people from China eat while watching a soccer game?
Answer:","People from China, like any other group, may eat a variety of foods while watching a soccer game, depending on their personal preferences and cultural norms. Some common options could include:

1. Fried rice or noodles
2. Dumplings (steamed or fried)
3. Baozi (steamed buns)
4. Chips and popcorn
5. Hotpot (a communal dish)
6. Snacks like peanuts or crispy snacks
7. Barbecue or street food
8. Beer or soft drinks

It's important to note that these are general examples and not everyone will follow them. The specific food choice can vary greatly depending on the individual and the setting.",inst-4
Na-ko-15,What is the representative nourishing food in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the representative nourishing food in China?
Answer:",Rice,inst-4
Na-ko-16,Who is the most famous soccer player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous soccer player in China?
Answer:",The most famous soccer player in China is probably Sun Jihai.,inst-4
Na-ko-17,What sports do male students enjoy during lunch time at school in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do male students enjoy during lunch time at school in China?
Answer:","The question does not specify a particular region or school, so it's difficult to provide a definitive answer. However, in many Chinese schools, popular sports activities during lunchtime among male students might include basketball, football (soccer), table tennis, volleyball, and sometimes running or playing dodgeball. These sports are common due to their accessibility and the fact that they require minimal equipment and space.",inst-4
Na-ko-18,What is the most common sport girls participate in during physical education classes in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common sport girls participate in during physical education classes in China?
Answer:",Answer: The most common sport girls participate in during physical education classes in China is gymnastics.,inst-4
Na-ko-19,Who is the most popular volleyball player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular volleyball player in China?
Answer:",The most popular volleyball player in China is Zhu Ting.,inst-4
Na-ko-20,What sports event do people from China passionately support the most in international competitions?,"Read the following question and provide a single answer without any explanations.

Question: What sports event do people from China passionately support the most in international competitions?
Answer:",Olympic Games,inst-4
Na-ko-22,Which country is considered the biggest rival in soccer matches for China?,"Read the following question and provide a single answer without any explanations.

Question: Which country is considered the biggest rival in soccer matches for China?
Answer:",Japan,inst-4
Na-ko-23,What type of sports academies do children attend the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of sports academies do children attend the most in China?
Answer:",Football (Soccer) academies,inst-4
Na-ko-24,What is the most commonly eaten food in sports stadiums while watching games in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most commonly eaten food in sports stadiums while watching games in China?
Answer:","The most commonly eaten food in sports stadiums while watching games in China is likely to be Jianbing, a popular Chinese street food. It's a crepe-like snack filled with various ingredients such as crispy fried dough, scallions, cilantro, and a sweet and savory sauce.",inst-4
Na-ko-25,What are the typical sports played in China's school sports day?,"Read the following question and provide a single answer without any explanations.

Question: What are the typical sports played in China's school sports day?
Answer:","The typical sports played in China's school sports day include track and field events, basketball, football (soccer), volleyball, table tennis, and martial arts (such as Tai Chi and martial arts competitions).",inst-4
Na-ko-26,What are the popular sports among the middle-aged population in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the popular sports among the middle-aged population in China?
Answer:","Tai Chi, Square Dancing, Table Tennis, and Golf are popular sports among the middle-aged population in China.",inst-4
Na-ko-28,Who is the most popular winter sports player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular winter sports player in China?
Answer:","The most popular winter sports player in China is often considered to be Eileen Gu (谷爱玲), a freestyle skier who has achieved significant success and gained widespread popularity both domestically and internationally. She has won medals at the Olympics, World Championships, and other major competitions.",inst-4
Na-ko-29,Who is the most famous swimmer in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous swimmer in China?
Answer:",Sun Yang,inst-4
Na-ko-30,What is the most popular e-sports game in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular e-sports game in China?
Answer:",The most popular e-sports game in China is League of Legends.,inst-4
Na-ko-33,What symbolic food do people from China eat on (Lunar) New Year?,"Read the following question and provide a single answer without any explanations.

Question: What symbolic food do people from China eat on (Lunar) New Year?
Answer:",Dumplings.,inst-4
Na-ko-37,What is the most popular domestic vacation spot for people from China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular domestic vacation spot for people from China?
Answer:",Hawaii,inst-4
Na-ko-38,What is the most common wedding gift between bride and groom in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common wedding gift between bride and groom in China?
Answer:","The most common wedding gift between bride and groom in China is money in a red envelope, also known as hongbao. This is typically given to express good wishes and financial support for the newlyweds.",inst-4
Na-ko-39,What is typically given as a congratulatory gesture when attending a friend's wedding in China?,"Read the following question and provide a single answer without any explanations.

Question: What is typically given as a congratulatory gesture when attending a friend's wedding in China?
Answer:",Red envelope with money.,inst-4
Na-ko-40,"How long (in days) does a funeral typically last in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in days) does a funeral typically last in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",1-3,inst-4
Na-ko-41,What should you prepare as a condolence offering when attending a funeral in China?,"Read the following question and provide a single answer without any explanations.

Question: What should you prepare as a condolence offering when attending a funeral in China?
Answer:","Mao Zedong Shengsi (烧纸, also known as joss paper or spirit money) and fruit.",inst-4
Na-ko-42,What type of food is commonly provided at funeral parlors in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of food is commonly provided at funeral parlors in China?
Answer:","In China, it is common to provide steamed buns (also known as ""funeral buns"" or ""sorrow buns"") at funeral parlors as a part of the mourning rituals and to honor the deceased. These buns symbolize respect and are often given to mourners as a sign of support during the funeral ceremony.",inst-4
Na-ko-43,What do people do in China in the morning of the (Lunar) New Year?,"Read the following question and provide a single answer without any explanations.

Question: What do people do in China in the morning of the (Lunar) New Year?
Answer:","People in China traditionally wake up early on the morning of the Lunar New Year, also known as Spring Festival, to participate in various activities. They often greet each other with ""Gong Xi Fa Cai"" (恭喜发财), wish for good fortune, and exchange red envelopes filled with money. Families typically gather for a reunion breakfast, which may include auspicious foods like dumplings or fish symbolizing wealth and abundance. Additionally, they may light firecrackers or fireworks to scare away evil spirits and bring good luck.",inst-4
Na-ko-44,When is the day with China's most severe nationwide traffic congestion?,"Read the following question and provide a single answer without any explanations.

Question: When is the day with China's most severe nationwide traffic congestion?
Answer:","The day with China's most severe nationwide traffic congestion is typically the Chinese New Year's Eve, also known as Chūnjié yuánqiān, when people travel to their hometowns for family reunions. This leads to massive traffic jams across the country.",inst-4
Na-ko-45,What is the most popular honeymoon destination in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular honeymoon destination in China?
Answer:",Hawaii,inst-4
Ne-ar-05,What is the most important national holiday in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most important national holiday in China?
Answer:","The most important national holiday in China is National Day, also known as中华人民共和国国庆节 (Zhōnghuá Rénmín Guó Jié), which falls on October 1st.",inst-4
Ne-ar-06,What do people from China eat in Ramadan?,"Read the following question and provide a single answer without any explanations.

Question: What do people from China eat in Ramadan?
Answer:","People from China do not observe Ramadan, as it is a religious holiday observed by Muslims. Therefore, there is no specific food tradition associated with Chinese individuals during Ramadan.",inst-4
Ne-ar-09,What do people from China eat in Eid ul Fitr?,"Read the following question and provide a single answer without any explanations.

Question: What do people from China eat in Eid ul Fitr?
Answer:","It is not common for people from China to celebrate Eid ul Fitr, as it is a significant holiday primarily observed by Muslims. Therefore, they would not typically eat specific foods associated with this festival.",inst-4
Ne-ar-10,What do people from China eat in Eid ul Adha?,"Read the following question and provide a single answer without any explanations.

Question: What do people from China eat in Eid ul Adha?
Answer:","It is not common for people from China to celebrate Eid ul Adha, as it is a significant Islamic holiday. Therefore, they would not typically prepare traditional Eid dishes. However, if there are Muslim communities in China who observe the festival, they might celebrate with customary Eid foods like qurbani (sacrificial meat), biryani, or other culturally diverse dishes.",inst-4
Ne-ar-11,Where do people from China go to celebrate New Year's Day?,"Read the following question and provide a single answer without any explanations.

Question: Where do people from China go to celebrate New Year's Day?
Answer:",China,inst-4
Ne-ar-14,Where do a family gather for Eid festivities in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do a family gather for Eid festivities in China?
Answer:","In China, a family may gather for Eid festivities at mosques, Islamic centers, or in their own homes, especially if they are of Muslim minority communities like the Hui or Uighur ethnic groups. Large-scale celebrations may also take place in designated community halls or cultural centers.",inst-4
Ne-ar-16,"When is the weekend in China (e.g. Monday, Tuesday)?","Read the following question and provide a single answer without any explanations.

Question: When is the weekend in China (e.g. Monday, Tuesday)?
Answer:",The weekend in China is Saturday and Sunday.,inst-4
Ne-ar-17,"At what time do most people start work in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: At what time do most people start work in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",09:00,inst-4
Ne-ar-18,"At what time do most people finish work in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: At what time do most people finish work in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",17:30,inst-4
Ne-ar-20,What is considered to be a secure job in China?,"Read the following question and provide a single answer without any explanations.

Question: What is considered to be a secure job in China?
Answer:","Government jobs are often considered to be relatively secure in China due to their stability and close ties with the government. However, this does not guarantee absolute job security as it may vary by sector and individual circumstances.",inst-4
Ne-ar-24,Which city is the primary commercial hub in China?,"Read the following question and provide a single answer without any explanations.

Question: Which city is the primary commercial hub in China?
Answer:",Shanghai,inst-4
Ne-ar-25,What is the industry that pays the best in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the industry that pays the best in China?
Answer:","The industry that pays the best in China varies over time and can be influenced by various factors such as market demand, skill level, and regional development. Generally, tech companies like tech giants like Huawei, Tencent, and Alibaba, as well as finance (e.g., investment banks), and consulting offer higher salaries. However, this information is subject to change and may not be applicable to all individuals or locations.",inst-4
Ne-ar-26,What is the most famous public corporation in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous public corporation in China?
Answer:",The most famous public corporation in China is Alibaba Group.,inst-4
Ne-ar-31,What is the most famous dish in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous dish in China?
Answer:",Peking Roast Duck.,inst-4
Ne-ar-32,What do people usually have for breakfast in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people usually have for breakfast in China?
Answer:","Noodles, congee, porridge, steamed buns, or fried rice are commonly consumed for breakfast in China, depending on the region and local preferences.",inst-4
Ne-ar-33,"When do people usually have lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: When do people usually have lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",12:00,inst-4
Ne-ar-34,What is typically indispensable in meals in China?,"Read the following question and provide a single answer without any explanations.

Question: What is typically indispensable in meals in China?
Answer:",Rice,inst-4
Ne-ar-36,What is a typical festive meal in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a typical festive meal in China?
Answer:","A typical festive meal in China often includes dishes such as Peking Roast Duck, dumplings (jiaozi), fish (often steamed or fried, symbolizing abundance), sweet and sour pork, hot pot, and a variety of vegetables and rice. Additionally, there may be a whole fish served as a symbol of prosperity, and dessert like mooncakes during the Mid-Autumn Festival.",inst-4
Ne-ar-37,Which fruit do people usually offer tourists/visitors from abroad in China?,"Read the following question and provide a single answer without any explanations.

Question: Which fruit do people usually offer tourists/visitors from abroad in China?
Answer:",答案：Dragon Fruit,inst-4
Ne-ar-38,Which food do people usually offer as charity in China?,"Read the following question and provide a single answer without any explanations.

Question: Which food do people usually offer as charity in China?
Answer:",Rice,inst-4
Ne-ar-39,What is the cheapest fast food in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the cheapest fast food in China?
Answer:","It is difficult to determine the cheapest fast food in China as prices can vary depending on location, brand, and regional preferences. Generally, street food like Jianbing (Chinese crepe), Baozi (steamed buns), and Yangrou Chafa (羊肉泡馍) can be considered relatively affordable compared to chain restaurants. However, without specific data or a current price comparison, I cannot provide an exact answer.",inst-4
Ne-ar-43,What do people usually have with tea in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people usually have with tea in China?
Answer:",People usually have tea in China with snacks or dim sum.,inst-4
Ne-ar-44,What do people have with coffee in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people have with coffee in China?
Answer:",Chopsticks.,inst-4
New-am-02,What is the most popular traditional food in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular traditional food in China?
Answer:",The most popular traditional food in China is often considered to be dumplings (jiaozi).,inst-4
New-am-04,What is the most popular dipping sauce in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular dipping sauce in China?
Answer:","The most popular dipping sauce in China is often considered to be soy sauce, particularly for dishes like dumplings and noodles. However, it can vary depending on regional preferences, with other options like vinegar or chili oil also being widely used.",inst-4
New-am-08,What food is most often consumed during Christian fasting in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is most often consumed during Christian fasting in China?
Answer:","The most commonly consumed food during Christian fasting in China is often vegetarian or simple meals, as it is a time of abstaining from meat and sometimes other rich foods, according to Christian traditions. However, the specifics can vary among different individuals and communities.",inst-4
New-am-15,What food is usually prepared when mothers give birth in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is usually prepared when mothers give birth in China?
Answer:",Red eggs.,inst-4
New-am-27,Who is the most popular female sportperson in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular female sportperson in China?
Answer:","The most popular female sportsperson in China is often considered to be Li Na, a retired professional tennis player who achieved significant success, including winning Grand Slam titles at the French Open and Australian Open.",inst-4
New-am-34,Where do most elementary school students prepare for their exams in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do most elementary school students prepare for their exams in China?
Answer:","In China, most elementary school students prepare for their exams in classrooms at school, under the guidance of their teachers.",inst-4
New-am-41,"In China, at which grade level do students take their first national-level examination?","Read the following question and provide a single answer without any explanations.

Question: In China, at which grade level do students take their first national-level examination?
Answer:","In China, students take their first national-level examination, known as the High School Entrance Examination (also called the ""Gaokao""), at the end of Grade 9.",inst-4
New-am-53,Which region in China is widely known for its coffee/tea industry?,"Read the following question and provide a single answer without any explanations.

Question: Which region in China is widely known for its coffee/tea industry?
Answer:",Yunnan,inst-4
New-am-54,Which region in China is widely known for its livestock industry?,"Read the following question and provide a single answer without any explanations.

Question: Which region in China is widely known for its livestock industry?
Answer:",Inner Mongolia,inst-4
New-am-59,What is the main occupation of people living in deserts in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the main occupation of people living in deserts in China?
Answer:",Farmers,inst-4
New-am-60,Which animal is typically used for transportation in China?,"Read the following question and provide a single answer without any explanations.

Question: Which animal is typically used for transportation in China?
Answer:",Horse,inst-4
New-am-72,What is the most popular comic book for children to read in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular comic book for children to read in China?
Answer:","The most popular comic book for children to read in China is ""Nezha"" (哪吒), which is based on the legendary Chinese mythological figure and has been adapted into various comic series and animated films.",inst-4
New-am-73,What is the most popular YouTube channel for children in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular YouTube channel for children in China?
Answer:","The most popular YouTube channel for children in China is ""Kchan4kids"" (凯叔讲故事).",inst-4
