id,en_question,answer,verifier_decision,raw_answer,verifier_reason
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),Beijing Guoan vs Shanghai Shenhua,ACCEPT,Beijing Guoan vs Shanghai Shenhua,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Kik-in-38,What are the names of soccer supporters in China who are famous for their intense rivalry? (e.g. ___ vs ___),Beijing Guoan vs Shanghai Shenhua,ACCEPT,Beijing Guoan vs Shanghai Shenhua,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Kik-in-40,Who is the most famous male badminton player in China?,Lin Dan,ACCEPT,Lin Dan,"Lin Dan is widely recognized as the most famous male badminton player in China, and the English is simple and clear."
Kik-in-41,Who is the most famous female badminton player in China?,Wang Yihan,REVISE,Li Xuerui,"Li Xuerui is a well-known player, but Wang Yihan or Chen Yufei might be more recognized currently."
Kik-in-44,What sport gets the most support from the government in China?,Table Tennis,ACCEPT,Table Tennis,The answer is culturally appropriate as table tennis is highly supported by the Chinese government. The English is simple and easy to understand.
Kik-in-45,What sports field facilities are usually available at schools in China?,Basketball courts and table tennis tables,ACCEPT,Basketball courts and table tennis tables,The answer is culturally appropriate and typical for schools in China. The English is simple and easy to understand.
Na-ko-02,What cafe beverage do people from China most commonly enjoy?,coffee,REVISE,Green tea,Green tea is not a cafe beverage; coffee is more common in cafes.
Na-ko-04,What is the preferred hangover cure food for people from China?,Congee with pickled vegetables,ACCEPT,Congee with pickled vegetables,Congee with pickled vegetables is a culturally appropriate and typical hangover cure food in China.
Na-ko-05,What is the typical delivery food in China?,Dumplings,ACCEPT,Dumplings,Dumplings are a culturally appropriate and typical delivery food in China.
Na-ko-07,What type of meat is consumed most by people from China?,Pork,ACCEPT,Pork,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Na-ko-08,What fruit do people from China often eat in the autumn season?,Pears and apples,ACCEPT,Pears and apples,The answer is culturally appropriate as pears and apples are commonly eaten in China during the autumn season. The English is simple and easy to understand.
Na-ko-09,What side dish is the most commonly served on a dining table in China?,Rice,ACCEPT,Rice,"Rice is a culturally appropriate and typical side dish in China, and the English is simple and easy to understand."
Na-ko-11,What do people from China eat while watching a soccer game?,Sunflower seeds or popcorn,ACCEPT,Sunflower seeds or popcorn,The answer is culturally appropriate and typical in China. Sunflower seeds and popcorn are common snacks during sports events.
Na-ko-15,What is the representative nourishing food in China?,Chicken soup with ginseng,ACCEPT,Chicken soup with ginseng,"Chicken soup with ginseng is a culturally appropriate and typical nourishing food in China, and the English is simple and easy to understand."
Na-ko-16,Who is the most famous soccer player in China?,Wu Lei,REVISE,Hao Haidong,"Hao Haidong is a famous retired player, but Wu Lei is more recognized among young people today."
Na-ko-17,What sports do male students enjoy during lunch time at school in China?,Basketball and table tennis,ACCEPT,Basketball and table tennis,"The answer is culturally appropriate and typical for male students in China, and the English is simple and easy to understand."
Na-ko-18,What is the most common sport girls participate in during physical education classes in China?,Badminton,ACCEPT,Badminton,"Badminton is a common sport played by girls during physical education classes in China, and the English is simple and easy to understand."
Na-ko-19,Who is the most popular volleyball player in China?,Zhu Ting,ACCEPT,Zhu Ting,The answer is culturally appropriate as Zhu Ting is a well-known and popular volleyball player in China. The English is simple and easy to understand.
Na-ko-20,What sports event do people from China passionately support the most in international competitions?,Table Tennis and Badminton,ACCEPT,Table Tennis and Badminton,"The answer is culturally appropriate as table tennis and badminton are very popular sports in China, and the English is simple and easy to understand."
Na-ko-22,Which country is considered the biggest rival in soccer matches for China?,Japan,ACCEPT,Japan,The answer is culturally appropriate as Japan is considered a major rival in soccer for China. The English is simple and easy to understand.
Na-ko-23,What type of sports academies do children attend the most in China?,Table tennis and badminton academies.,ACCEPT,Table tennis and badminton academies.,"The answer is culturally appropriate as table tennis and badminton are popular sports in China, and the English is simple and easy to understand."
Na-ko-24,What is the most commonly eaten food in sports stadiums while watching games in China?,Sunflower seeds,ACCEPT,Sunflower seeds,Sunflower seeds are a common snack in sports stadiums in China and the English is simple and easy to understand.
Na-ko-25,What are the typical sports played in China's school sports day?,"Track and field, basketball, and table tennis.",ACCEPT,"Track and field, basketball, and table tennis.",The answer is culturally appropriate and typical for school sports days in China. The English is simple and easy to understand.
Na-ko-26,What are the popular sports among the middle-aged population in China?,Tai Chi and Badminton,ACCEPT,Tai Chi and Badminton,The answer is culturally appropriate and typical for China. The English is simple and easy to understand.
Na-ko-28,Who is the most popular winter sports player in China?,Wang Meng,ACCEPT,Wang Meng,"Wang Meng is a well-known and popular winter sports athlete in China, and the English is simple and easy to understand."
Na-ko-29,Who is the most famous swimmer in China?,Sun Yang,ACCEPT,Sun Yang,"Sun Yang is widely recognized as a famous swimmer in China, and the English used is simple and clear."
Na-ko-30,What is the most popular e-sports game in China?,League of Legends,ACCEPT,League of Legends,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Na-ko-33,What symbolic food do people from China eat on (Lunar) New Year?,Dumplings,ACCEPT,Dumplings,Dumplings are a culturally appropriate and typical food eaten during the Chinese Lunar New Year.
Na-ko-37,What is the most popular domestic vacation spot for people from China?,Sanya,REVISE,The Great Wall of China,"The Great Wall of China is a historical site, not a typical vacation spot for domestic travelers."
Na-ko-38,What is the most common wedding gift between bride and groom in China?,Red envelope with money,ACCEPT,Red envelope with money,The answer is culturally appropriate as red envelopes with money are a common wedding gift in China. The English is simple and easy to understand.
Na-ko-39,What is typically given as a congratulatory gesture when attending a friend's wedding in China?,Red envelope with money,ACCEPT,Red envelope with money,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Na-ko-40,"How long (in days) does a funeral typically last in China? (Provide Arabic numerals (e.g., 12) only.)",3,ACCEPT,3,"The answer is culturally appropriate and typical for a funeral in China, and the English is simple and easy to understand."
Na-ko-41,What should you prepare as a condolence offering when attending a funeral in China?,White envelope with money,ACCEPT,White envelope with money,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Na-ko-42,What type of food is commonly provided at funeral parlors in China?,tea and snacks,REVISE,White rice and vegetables,The answer is not typical for China. Common foods at funeral parlors include simple snacks or tea.
Na-ko-43,What do people do in China in the morning of the (Lunar) New Year?,They set off fireworks and firecrackers to scare away evil spirits.,ACCEPT,They set off fireworks and firecrackers to scare away evil spirits.,"The answer is culturally appropriate and typical for Chinese Lunar New Year, and the English is simple and easy to understand."
Na-ko-44,When is the day with China's most severe nationwide traffic congestion?,The first day of Chinese New Year holiday.,ACCEPT,The first day of Chinese New Year holiday.,The answer is culturally appropriate as the first day of the Chinese New Year holiday is known for severe traffic congestion in China. The English is simple and easy to understand.
Na-ko-45,What is the most popular honeymoon destination in China?,"Sanya, Hainan Island",ACCEPT,"Sanya, Hainan Island","The answer is culturally appropriate and typical in China. Sanya, Hainan Island is a popular honeymoon destination among young couples."
Ne-ar-05,What is the most important national holiday in China?,Chinese New Year,ACCEPT,Chinese New Year,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Ne-ar-06,What do people from China eat in Ramadan?,Most Chinese people do not observe Ramadan as the majority of the population is not Muslim.,ACCEPT,Most Chinese people do not observe Ramadan as the majority of the population is not Muslim.,The answer is culturally appropriate as most Chinese people are not Muslim and do not observe Ramadan. The English is simple and easy to understand.
Ne-ar-09,What do people from China eat in Eid ul Fitr?,"Most Chinese people do not celebrate Eid ul Fitr as it is a Muslim holiday. However, Chinese Muslims might eat traditional foods such as beef, mutton, and sweet rice pudding.",ACCEPT,"Most Chinese people do not celebrate Eid ul Fitr as it is a Muslim holiday. However, Chinese Muslims might eat traditional foods such as beef, mutton, and sweet rice pudding.",The answer is culturally appropriate and the English is simple and easy to understand.
Ne-ar-10,What do people from China eat in Eid ul Adha?,"Most Chinese people do not celebrate Eid ul Adha as it is a Muslim holiday. However, Chinese Muslims might eat dishes like roasted lamb or beef, and special sweets.",ACCEPT,"Most Chinese people do not celebrate Eid ul Adha as it is a Muslim holiday. However, Chinese Muslims might eat dishes like roasted lamb or beef, and special sweets.","The answer is culturally appropriate as it acknowledges that Eid ul Adha is primarily celebrated by Chinese Muslims, and the English is simple and easy to understand."
Ne-ar-11,Where do people from China go to celebrate New Year's Day?,Visit family,REVISE,They often go to temples for prayer or stay at home with family.,"The answer refers to New Year's Day, which should be interpreted as Chinese Lunar New Year, and the activities mentioned are not typical for this festival."
Ne-ar-14,Where do a family gather for Eid festivities in China?,At home or a relative's house,ACCEPT,At home or a relative's house,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ne-ar-16,"When is the weekend in China (e.g. Monday, Tuesday)?","Saturday, Sunday",ACCEPT,"Saturday, Sunday","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ne-ar-17,"At what time do most people start work in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",09:00,ACCEPT,09:00,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ne-ar-18,"At what time do most people finish work in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",18:00,ACCEPT,18:00,"The answer is culturally appropriate and typical for China, and the English is simple and easy to understand."
Ne-ar-20,What is considered to be a secure job in China?,Government employee,ACCEPT,Government employee,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ne-ar-24,Which city is the primary commercial hub in China?,Shanghai,ACCEPT,Shanghai,"The answer is culturally appropriate and typical, as Shanghai is widely recognized as the primary commercial hub in China. The English is simple and easy to understand."
Ne-ar-25,What is the industry that pays the best in China?,Technology industry,ACCEPT,Technology industry,"The technology industry is widely recognized as one of the best-paying industries in China, and the English is simple and easy to understand."
Ne-ar-26,What is the most famous public corporation in China?,Alibaba Group,ACCEPT,Alibaba Group,Alibaba Group is a well-known and culturally appropriate answer for a famous public corporation in China. The English is simple and easy to understand.
Ne-ar-31,What is the most famous dish in China?,Peking Duck,ACCEPT,Peking Duck,Peking Duck is a well-known and culturally significant dish in China.
Ne-ar-32,What do people usually have for breakfast in China?,Congee with pickled vegetables or dim sum.,ACCEPT,Congee with pickled vegetables or dim sum.,The answer is culturally appropriate and typical for breakfast in China. The English is simple and easy to understand.
Ne-ar-33,"When do people usually have lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",12:00,ACCEPT,12:00,The answer is culturally appropriate and typical for lunch time in China.
Ne-ar-34,What is typically indispensable in meals in China?,Rice,ACCEPT,Rice,Rice is a culturally appropriate and typical staple in Chinese meals.
Ne-ar-36,What is a typical festive meal in China?,dumplings,REVISE,Peking Duck,Peking Duck is a well-known dish but not typically associated with festive meals across China.
Ne-ar-37,Which fruit do people usually offer tourists/visitors from abroad in China?,Tea,REVISE,Apples or Oranges,Apples and oranges are not specifically typical fruits offered to tourists in China.
Ne-ar-38,Which food do people usually offer as charity in China?,Rice and noodles,ACCEPT,Rice and noodles,The answer is culturally appropriate as rice and noodles are staple foods in China and are commonly offered as charity.
Ne-ar-39,What is the cheapest fast food in China?,Street food like Baozi or Jianbing,ACCEPT,Street food like Baozi or Jianbing,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Ne-ar-43,What do people usually have with tea in China?,Dim sum,ACCEPT,Dim sum,Dim sum is a culturally appropriate and typical accompaniment to tea in China.
Ne-ar-44,What do people have with coffee in China?,cookies,REVISE,Mooncakes,Mooncakes are not typically associated with coffee in China. Young people in China are more likely to have snacks like cookies or pastries with coffee.
New-am-02,What is the most popular traditional food in China?,Dumplings,ACCEPT,Dumplings,Dumplings are a culturally appropriate and popular traditional food in China.
New-am-04,What is the most popular dipping sauce in China?,Soy sauce,ACCEPT,Soy sauce,"Soy sauce is a common and culturally appropriate dipping sauce in China, and the English is simple and easy to understand."
New-am-08,What food is most often consumed during Christian fasting in China?,rice,REVISE,Vegetable soup,"Christian fasting is not widely practiced in China, and vegetable soup is not specifically associated with it."
New-am-15,What food is usually prepared when mothers give birth in China?,Chicken soup with Chinese herbs,ACCEPT,Chicken soup with Chinese herbs,The answer is culturally appropriate and typical in China. Chicken soup with Chinese herbs is a common dish prepared for mothers after giving birth.
New-am-27,Who is the most popular female sportperson in China?,Li Na,ACCEPT,Li Na,"Li Na is a well-known and popular female sportsperson in China, especially in tennis."
New-am-34,Where do most elementary school students prepare for their exams in China?,At home or in tutoring centers.,ACCEPT,At home or in tutoring centers.,The answer is culturally appropriate and typical for China. The English is simple and easy to understand.
New-am-41,"In China, at which grade level do students take their first national-level examination?",Grade 9,ACCEPT,Grade 9,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-am-53,Which region in China is widely known for its coffee/tea industry?,Yunnan Province,ACCEPT,Yunnan Province,"The answer is culturally appropriate and typical in China. Yunnan Province is well-known for its tea and coffee industry, and the English is simple and easy to understand."
New-am-54,Which region in China is widely known for its livestock industry?,Inner Mongolia,ACCEPT,Inner Mongolia,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-am-59,What is the main occupation of people living in deserts in China?,Herding and farming,ACCEPT,Herding and farming,The answer is culturally appropriate and typical for people living in deserts in China. The English is simple and easy to understand.
New-am-60,Which animal is typically used for transportation in China?,horse,REVISE,Bicycle,"The answer is not culturally appropriate as bicycles are not animals. In China, animals like horses or donkeys might be used in rural areas."
New-am-72,What is the most popular comic book for children to read in China?,"""Doraemon""",ACCEPT,"""Doraemon""",Doraemon is a popular comic book among children in China and the English is simple and easy to understand.
New-am-73,What is the most popular YouTube channel for children in China?,YouTube is blocked in China.,ACCEPT,YouTube is blocked in China.,The answer is culturally appropriate as YouTube is indeed blocked in China.
New-am-74,What is the most popular talk show in China?,"""The Jin Xing Show""",ACCEPT,"""The Jin Xing Show""",The Jin Xing Show is a well-known talk show in China and the English is simple and clear.
New-am-77,What is the most famous religious holiday in China?,Buddha's Birthday,REVISE,Spring Festival (Chinese New Year),"Spring Festival is a cultural holiday, not specifically a religious one."
New-am-81,"What is the busiest month for weddings in China? (Provide Arabic numerals (e.g., 1) only.)",10,ACCEPT,10,The answer is culturally appropriate as October is a popular month for weddings in China due to the National Day holiday and favorable weather.
New-am-83,What is the most popular traditional musical instrument in China?,Pipa,REVISE,Guqin,"Guqin is a traditional instrument, but the pipa or erhu are more commonly recognized as popular traditional instruments in China."
New-as-01,What is the main agricultural product produced in China?,Rice,ACCEPT,Rice,Rice is a culturally appropriate and typical main agricultural product in China. The English is simple and easy to understand.
New-as-02,What is the most popular wheat-based food item in China?,Noodles,ACCEPT,Noodles,"Noodles are a culturally appropriate and popular wheat-based food item in China, and the English is simple and easy to understand."
New-as-05,What is the most typical drink offered to guests when they visit households in China?,Tea,ACCEPT,Tea,"Tea is a culturally appropriate and typical drink offered to guests in China, and the English is simple and easy to understand."
New-as-07,What is the most popular dish cooked with fish in China?,Sweet and Sour Fish,ACCEPT,Sweet and Sour Fish,"Sweet and Sour Fish is a popular and culturally appropriate dish in China, and the English is simple and easy to understand."
New-as-14,What food do people from China like to eat during rainy weather?,Hot soup or hot pot,ACCEPT,Hot soup or hot pot,The answer is culturally appropriate and typical in China. Hot soup and hot pot are common foods enjoyed during rainy weather.
New-as-15,What drink is commonly consumed in China when the weather is hot?,Iced green tea,ACCEPT,Iced green tea,Iced green tea is a common and culturally appropriate drink consumed in China during hot weather. The English is simple and easy to understand.
New-as-20,What is the most popular indoor sport in China?,Table Tennis,ACCEPT,Table Tennis,Table Tennis is culturally appropriate and widely recognized as a popular indoor sport in China. The English is simple and easy to understand.
New-as-29,What sport do men in China like to watch?,Football and Basketball,ACCEPT,Football and Basketball,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-as-30,What sport do women in China like to watch?,Basketball,ACCEPT,Basketball,"Basketball is a popular sport among young people in China, and it is common for women to enjoy watching it."
New-as-58,What is the most popular beverage that people from China like to drink in their workplace?,Green tea,ACCEPT,Green tea,"Green tea is a culturally appropriate and typical beverage in China, and the English is simple and easy to understand."
New-as-64,On which holiday do all family members tend to reunite in China?,Chinese New Year,ACCEPT,Chinese New Year,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-as-76,What traditional games do families play during traditional holidays in China?,Mahjong or Chinese Chess,ACCEPT,Mahjong or Chinese Chess,Mahjong and Chinese Chess are traditional games commonly played by families during holidays in China.
New-as-80,What type of clothing do people from China wear during traditional festivals?,Traditional Hanfu or Qipao,ACCEPT,Traditional Hanfu or Qipao,The answer is culturally appropriate and typical for traditional festivals in China. The English is simple and easy to understand.
New-as-89,What traditional festival accessories do people from China wear?,traditional clothes,REVISE,"Red lanterns, dragon costumes, and red envelopes.",The answer includes items that are not typically worn as accessories. Red envelopes and lanterns are not worn.
New-az-05,What is the most famous region for alcohol production in China?,Sichuan,REVISE,Shaoxing,"Shaoxing is famous for rice wine, but the most famous region for alcohol production in China is likely Sichuan, known for its strong spirits like baijiu."
New-az-11,What fruit do people from China often eat in the summer season?,Watermelon,ACCEPT,Watermelon,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-az-12,Which region in China is known for its seafood?,Guangdong Province,ACCEPT,Guangdong Province,"Guangdong Province is well-known for its seafood, and the answer is simple and easy to understand."
New-az-21,Which region in China is the most popular skiing destination?,Yabuli,REVISE,Heilongjiang Province,"The most popular skiing destination in China is typically Yabuli in Heilongjiang, but the answer could be more specific."
New-az-26,Who is the most popular martial arts player in China?,Jet Li,ACCEPT,Jet Li,"Jet Li is a well-known martial artist and actor in China, making the answer culturally appropriate and typical. The English is simple and easy to understand."
New-az-27,Which sport has been one of the fastest-growing in China over the last decade?,Basketball,ACCEPT,Basketball,Basketball is indeed one of the fastest-growing sports in China and the English used is simple and easy to understand.
New-az-39,Which country is the most popular destination for students from China studying abroad?,United States,ACCEPT,United States,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-az-49,"How many people work in a typical family in China? (Provide Arabic numerals (e.g., 1) only.)",2,ACCEPT,2,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-az-60,"In China, who takes care of kids when both parents are working?",Grandparents,ACCEPT,Grandparents,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-az-69,What is the preferred alcoholic beverage for men from China?,Baijiu,ACCEPT,Baijiu,"Baijiu is a culturally appropriate and typical alcoholic beverage for men in China, and the English is simple and easy to understand."
New-az-70,What is the preferred alcoholic beverage for women from China?,Red wine,ACCEPT,Red wine,"Red wine is a common and popular choice among women in China, especially among the younger generation."
New-az-73,"How many people on average typically attend a wedding in China? (Provide Arabic numerals (e.g., 1) only.)",200,ACCEPT,200,"The answer is culturally appropriate and typical for weddings in China, and the English is simple and easy to understand."
New-ch-01,What kind of meat do people usually eat when they have barbecue in China?,Lamb skewers,ACCEPT,Lamb skewers,"Lamb skewers are a culturally appropriate and typical choice for barbecue in China, especially in regions like Xinjiang."
New-ch-02,"When do people usually have breakfast in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",07:00,ACCEPT,07:00,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-ch-04,What kinds of food do people usually eat for late-night snacks in China?,"Instant noodles, dumplings, and street barbecue.",ACCEPT,"Instant noodles, dumplings, and street barbecue.","The answer is culturally appropriate and typical for late-night snacks in China, and the English is simple and easy to understand."
New-ch-05,What is the most famous spicy dish in China?,Mapo Tofu,REVISE,Hot Pot,"Hot Pot is popular, but Sichuan Hot Pot or Mapo Tofu are more typical spicy dishes."
New-ch-07,What food items do people typically pair with hard liquor in China?,Peanuts and pickled vegetables,ACCEPT,Peanuts and pickled vegetables,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-ch-08,What seasoning is indispensable in cooking in China?,Soy sauce,ACCEPT,Soy sauce,Soy sauce is a culturally appropriate and typical seasoning used in Chinese cooking. The English is simple and easy to understand.
New-ch-09,What food do people typically consume when the weather is cold in China?,Hot pot or dumplings,ACCEPT,Hot pot or dumplings,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-ch-13,What is the most famous alcohol brand in China?,Moutai,ACCEPT,Moutai,Moutai is a culturally appropriate and typical answer for a famous alcohol brand in China. The English is simple and easy to understand.
New-ch-14,What foods do people usually eat when they are sick in China?,Congee or noodle soup,ACCEPT,Congee or noodle soup,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-ch-15,What prepared/ready-to-eat food do people typically buy at supermarkets in China?,"Instant noodles, dumplings, and baozi (steamed buns).",ACCEPT,"Instant noodles, dumplings, and baozi (steamed buns).","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-ch-16,What is the most famous sports-related movie in China?,"""Shaolin Soccer""",ACCEPT,"""Shaolin Soccer""",The answer 'Shaolin Soccer' is culturally appropriate and well-known in China. The English is simple and easy to understand.
New-ch-17,What extreme sport do people generally wish to try the most in China?,Bungee jumping,ACCEPT,Bungee jumping,Bungee jumping is a popular extreme sport that many young people in China are interested in trying.
New-ch-18,Which track and field event is the most popular to watch during competitions in China?,100-meter sprint,ACCEPT,100-meter sprint,"The 100-meter sprint is a popular track and field event worldwide, including in China. The English is simple and easy to understand."
New-ch-19,Which gymnastics event is the most popular to watch during competitions in China?,Balance Beam,ACCEPT,Balance Beam,"The balance beam is a popular gymnastics event to watch, especially in women's gymnastics, and the English is simple and easy to understand."
New-ch-23,Who is the most famous table tennis player in China?,Ma Long,ACCEPT,Ma Long,Ma Long is widely recognized as one of the most famous table tennis players in China and the world. The English is simple and easy to understand.
New-ch-26,"In the Winter Olympics, which event is the most popular to watch in China?",Short Track Speed Skating,ACCEPT,Short Track Speed Skating,The answer is culturally appropriate as short track speed skating is very popular in China during the Winter Olympics. The English is simple and easy to understand.
New-ch-27,Who is the most famous boxer in China?,Zou Shiming,ACCEPT,Zou Shiming,"Zou Shiming is widely recognized as a famous boxer in China, and the English is simple and easy to understand."
New-ch-30,Who is the most famous track and field athlete in China?,Liu Xiang,ACCEPT,Liu Xiang,"Liu Xiang is widely recognized as the most famous track and field athlete in China, and the English is simple and clear."
New-ch-31,What job do parents most hope their children will pursue in China?,Doctor or Lawyer,ACCEPT,Doctor or Lawyer,The answer is culturally appropriate as many parents in China hope their children will pursue stable and prestigious careers like doctors or lawyers. The English is simple and easy to understand.
New-ch-32,What office software do people typically use in the workplace in China?,Microsoft Office,ACCEPT,Microsoft Office,Microsoft Office is commonly used in workplaces in China and the English is simple and easy to understand.
New-ch-38,Which cities or regions are known for their import and export activities in China?,"Shanghai, Guangzhou, and Shenzhen",ACCEPT,"Shanghai, Guangzhou, and Shenzhen","The answer is culturally appropriate and typical for China, and the English is simple and easy to understand."
New-ch-39,What platform is commonly used in the e-commerce industry in China?,Alibaba,ACCEPT,Alibaba,The answer is culturally appropriate and Alibaba is a well-known e-commerce platform in China. The English is simple and easy to understand.
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in China? (e.g., 1 month).",3 months,ACCEPT,3 months,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-ch-45,Which industries do young people typically choose to start businesses in China?,"Technology, e-commerce, and food and beverage.",ACCEPT,"Technology, e-commerce, and food and beverage.","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-ch-49,What is the most common way for family members to communicate remotely in China?,WeChat,ACCEPT,WeChat,WeChat is the most common and culturally appropriate way for family members to communicate remotely in China. The English is simple and easy to understand.
New-ch-51,What form of accommodation is typically booked for family trips in China?,Hotel rooms,ACCEPT,Hotel rooms,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-ch-54,Which fruit is usually prepared the most for family dinners in China?,oranges,REVISE,Apples,Apples are not the most typical fruit prepared for family dinners in China.
New-ch-64,"How many hours of classes do university students typically have per week in China? (Provide Arabic numerals (e.g., 1) only.)",20,ACCEPT,20,"The answer is culturally appropriate and typical for university students in China, and the English is simple and easy to understand."
New-ch-66,"What is the typical tuition fee per semester for public high schools in China?  (Provide Arabic numerals (e.g., 1) only.)",0,ACCEPT,0,"Public high schools in China typically do not charge tuition fees, so the answer is culturally appropriate."
New-ch-70,What compulsory courses do university students have in common in China?,"Mandarin, PE",REVISE,"Mandarin, Mathematics, and Physical Education",The answer is not typical for China as Mathematics is not a compulsory course for all university students.
New-ch-71,"What is the average class size in high schools in China? (Provide Arabic numerals (e.g., 1) only.)",50,ACCEPT,50,The answer is culturally appropriate and typical for high schools in China. The English is simple and easy to understand.
New-ch-72,Which major is considered most conducive to employment in China?,Computer Science,ACCEPT,Computer Science,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-ch-73,What type of clubs are most popular among university students in China?,"Academic clubs, sports clubs, and arts clubs.",ACCEPT,"Academic clubs, sports clubs, and arts clubs.",The answer is culturally appropriate and typical for university students in China. The English is simple and easy to understand.
New-ch-74,What types of accommodation do university students in China typically live in?,Dormitories,ACCEPT,Dormitories,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-ch-75,"How long is each class period for middle school students in China (minutes)?  (Provide Arabic numerals (e.g., 1) only.)",45,ACCEPT,45,The answer is culturally appropriate and typical for middle school class periods in China. The English is simple and easy to understand.
New-ch-78,What leisure activities do retired women typically like in China?,"Playing Mahjong, practicing Tai Chi, and dancing in public squares.",ACCEPT,"Playing Mahjong, practicing Tai Chi, and dancing in public squares.",The answer is culturally appropriate and typical for retired women in China. The English is simple and easy to understand.
New-ch-79,What leisure activities do retired men typically like in China?,"Playing Mahjong, practicing Tai Chi, and bird keeping.",ACCEPT,"Playing Mahjong, practicing Tai Chi, and bird keeping.",The answer is culturally appropriate and typical for retired men in China. The English is simple and easy to understand.
New-ch-80,"During which holidays do people typically visit religious sites (temples, churches, etc.) in China?","Chinese New Year, Qingming Festival",REVISE,"Chinese New Year, Qingming Festival, and Mid-Autumn Festival",The Mid-Autumn Festival is not typically associated with visiting religious sites.
New-ch-81,What are the typical housewarming gifts in China?,"Rice, oil, tea, or alcohol.",ACCEPT,"Rice, oil, tea, or alcohol.","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-ch-82,"At what time do weddings typically start in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",09:00,REVISE,12:00,"Weddings in China typically start earlier in the day, often around 09:00 or 10:00."
New-ch-83,Which city in China hosts festivals the most?,Shanghai,REVISE,Beijing,"While Beijing hosts many festivals, cities like Shanghai and Guangzhou are also known for frequent festivals. The answer could be more inclusive."
New-ch-84,What color of clothing do people typically wear when attending weddings in China?,Red,ACCEPT,Red,Red is a culturally appropriate and typical color for wedding clothing in China.
New-ch-85,What color of clothing do people typically wear when attending funerals in China?,White or black,ACCEPT,White or black,The answer is culturally appropriate as white and black are traditional colors for funerals in China. The English is simple and easy to understand.
New-en-01,Which snack is eaten in the cinema in China?,Popcorn,ACCEPT,Popcorn,"Popcorn is a common snack eaten in cinemas in China, especially among young people, and the English is simple and easy to understand."
New-en-02,What is the most popular chip/crisp flavour in China?,Cucumber,REVISE,Lays Classic Flavor,Lays Classic Flavor is not a typical or culturally specific flavor in China. Popular flavors in China include unique ones like 'Cucumber' or 'Peking Duck'.
New-en-04,Who is a popular celebrity chef in China?,Chef Dong,REVISE,Da Ye,Da Ye is not widely recognized as a popular celebrity chef in China.
New-en-05,Which food is a cost-effective and quick meal option in China?,Noodles or dumplings,ACCEPT,Noodles or dumplings,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
New-en-07,What are the most popular cooking shows in China?,"""A Bite of China"", ""MasterChef China"", and ""Go Fridge""",ACCEPT,"""A Bite of China"", ""MasterChef China"", and ""Go Fridge""","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
New-en-08,What is the most popular chocolate brand in China?,Dove,ACCEPT,Dove,"Dove is a popular chocolate brand in China, and the answer is simple and easy to understand."
New-en-10,What is the most eaten cheese in China?,no specific cheese,REVISE,Mozzarella,Mozzarella is not the most eaten cheese in China; cheese consumption is generally low and varied.
New-en-11,What is the most disliked vegetable in China?,Bitter melon,ACCEPT,Bitter melon,Bitter melon is known for its strong taste and is often disliked by many people in China.
